,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender
29,2020,2019-12-31 10:07:23.977,55000.0,United States,,PostgreSQL,0,Full time employee,Analyst,No,0,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
30,2020,2019-12-31 09:43:00.328,40000.0,United States,44281,MySQL/MariaDB,1,Full time employee,Analyst,No,1,7,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
31,2020,2019-12-31 08:54:53.117,115000.0,United States,32232,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,50,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Local government,"Stay with the same employer, same role",Male
32,2020,2019-12-31 07:43:09.898,53000.0,United States,14203,Microsoft SQL Server,2,Full time employee,Analyst,No,2,4,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
33,2020,2019-12-31 07:10:55.709,95000.0,United States,33624,Microsoft SQL Server,3,Full time employee,Engineer,No,1,20,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
34,2020,2019-12-31 07:04:10.647,142000.0,United States,22180,Oracle,5,Full time employee,Analyst,Yes,5,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Federal government,"Stay with the same role, but change employers",Male
35,2020,2019-12-31 06:58:09.429,100000.0,United States,,Microsoft SQL Server,6,Full time employee,Analyst,No,11,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,Change both employers and roles,Male
36,2020,2019-12-31 06:34:50.123,122000.0,United States,,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,Architect,No,5,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
37,2020,2019-12-31 06:06:40.897,60000.0,United States,17011,Microsoft SQL Server,1,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",Yes,1,2,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Federal government,"Stay with the same role, but change employers",Male
38,2020,2019-12-31 05:13:51.044,78000.0,United States,,Microsoft SQL Server,2,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,60,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
41,2020,2019-12-31 04:53:06.759,103000.0,United States,33131,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,Other,No,10,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
42,2020,2019-12-31 04:33:01.656,85000.0,United States,30067,Microsoft SQL Server,3,Full time employee,Analyst,No,3,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
43,2020,2019-12-31 04:28:20.092,100000.0,United States,31419,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,15,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Federal government,"Stay with the same employer, same role",Male
46,2020,2019-12-31 04:00:08.308,85000.0,United States,98052,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,Yes,6,1,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Female
50,2020,2019-12-31 02:08:32.726,85000.0,United States,64015,Microsoft SQL Server,10,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,15,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
51,2020,2019-12-31 02:04:08.452,81000.0,United States,,Microsoft SQL Server,4,Full time employee,Analyst,Yes,3,10,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
52,2020,2019-12-31 01:57:49.016,148000.0,United States,60642,Cassandra,5,Full time employee,Data Scientist,No,7,0,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Female
53,2020,2019-12-31 01:57:38.029,148000.0,United States,60642,Cassandra,5,Full time employee,Data Scientist,No,7,0,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Female
54,2020,2019-12-31 01:53:43.541,50000.0,United States,,Microsoft SQL Server,1,Full time employee,Engineer,No,1,5,Not Asked,Not Asked,Not Asked,Not Asked,"<= 20,000 (town)",Private business,"Stay with the same employer, same role",Male
56,2020,2019-12-31 01:23:57.305,55000.0,United States,92780,Microsoft SQL Server,1,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,110,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Male
58,2020,2019-12-31 01:10:46.426,115000.0,United States,,Microsoft SQL Server,1,Full time employee,Data Scientist,No,1,6,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
59,2020,2019-12-31 01:02:09.862,115000.0,United States,98107,Amazon RDS (any flavor),3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
61,2020,2019-12-31 00:15:48.277,130000.0,United States,84094,Other,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,10,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same role, but change employers",Male
63,2020,2019-12-31 00:03:52.869,98000.0,United States,08807,Microsoft SQL Server,5,Full time employee,Analyst,No,5,2,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
65,2020,2019-12-30 23:20:17.199,62000.0,United States,93041,PostgreSQL,2,Full time employee,Analyst,No,2,1,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
66,2020,2019-12-30 23:03:45.158,68000.0,United States,32216,Oracle,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,4,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
67,2020,2019-12-30 22:49:46.466,117000.0,United States,,Microsoft SQL Server,2,Full time employee,Analyst,No,3,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
68,2020,2019-12-30 22:47:08.603,82500.0,United States,12203,Microsoft SQL Server,6,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,6,20,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
69,2020,2019-12-30 22:40:46.213,130000.0,United States,21030,Microsoft SQL Server,20,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,40,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
70,2020,2019-12-30 22:40:44.156,50000.0,United States,64138,Microsoft SQL Server,1,Full time employee,Other,No,1,1,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
72,2020,2019-12-30 22:32:34.415,105000.0,United States,53202,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,Yes,4,6,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same role, but change employers",Female
73,2020,2019-12-30 22:32:10.424,30000.0,United States,,MySQL/MariaDB,1,Full time employee,Analyst,No,1,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
74,2020,2019-12-30 22:26:47.668,97500.0,United States,,DB2,15,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,8,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
75,2020,2019-12-30 22:12:07.493,230000.0,United States,90006,Microsoft SQL Server,6,"Independent consultant, contractor, freelancer,  or company owner","Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,2,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
76,2020,2019-12-30 22:10:18.174,54000.0,United States,84,Other,3,Full time employee,Analyst,Yes,1,3,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer,  but change roles",Non-binary/third gender
77,2020,2019-12-30 21:54:59.581,165000.0,United States,01534,Microsoft SQL Server,20,Full time employee,Architect,Yes,5,19,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Female
78,2020,2019-12-30 21:48:03.555,145000.0,United States,,PostgreSQL,8,Full time employee,Manager,Yes,1,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
79,2020,2019-12-30 21:46:37.866,115000.0,United States,,Microsoft SQL Server,10,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,8,65,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,"Stay with the same employer,  but change roles",Male
80,2020,2019-12-30 21:42:06.251,100000.0,United States,08009,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,5,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,"Stay with the same employer, same role",Male
81,2020,2019-12-30 21:32:02.097,102990.0,United States,85003,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,No,8,20,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Local government,Prefer not to say,Male
82,2020,2019-12-30 21:29:26.614,135000.0,United States,,Microsoft SQL Server,16,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,22,32,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
83,2020,2019-12-30 21:23:07.111,47000.0,United States,37604,Microsoft SQL Server,1,Full time employee,Developer: T-SQL,No,1,2,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,Change both employers and roles,Male
84,2020,2019-12-30 21:16:27.175,155000.0,United States,750,Microsoft SQL Server,8,Full time employee,Manager,Yes,4,6,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
85,2020,2019-12-30 21:14:55.547,95000.0,United States,19125,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",No,3,1,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
87,2020,2019-12-30 20:51:59.243,101000.0,United States,802,Microsoft SQL Server,8,Full time employee,Manager,Yes,4,10,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
88,2020,2019-12-30 20:49:47.732,83000.0,United States,46055,Microsoft SQL Server,7,Full time employee,Data Scientist,No,3,8,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,"Stay with the same employer, same role",Male
89,2020,2019-12-30 20:49:21.887,140000.0,United States,75023,Microsoft SQL Server,13,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,13,10,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
90,2020,2019-12-30 20:38:33.717,125000.0,United States,37204,Microsoft SQL Server,10,Full time employee,Manager,Yes,6,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
91,2020,2019-12-30 20:37:47.180,57000.0,United States,80111,Amazon RDS (any flavor),0,Full time employee,Analyst,No,0,4,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
92,2020,2019-12-30 20:34:49.057,68000.0,United States,10017,Microsoft SQL Server,2,Full time employee,Analyst,No,2,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
93,2020,2019-12-30 20:27:44.915,105000.0,United States,,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,No,4,6,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer,  but change roles",Male
94,2020,2019-12-30 20:25:56.831,80000.0,United States,70592,Microsoft SQL Server,13,Full time employee,"Developer: App code (C#, JS, etc)",No,15,7,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
95,2020,2019-12-30 20:19:05.331,95000.0,United States,43215,Microsoft SQL Server,2,Full time employee,Analyst,No,2,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
96,2020,2019-12-30 20:15:42.024,100000.0,United States,85015,Microsoft SQL Server,6,Full time employee,Analyst,No,6,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
97,2020,2019-12-30 20:03:34.569,150000.0,United States,,Amazon RDS (any flavor),3,Full time employee,Manager,Yes,1,0,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
98,2020,2019-12-30 19:56:38.701,93500.0,United States,33607,Oracle,10,Full time employee,Analyst,No,10,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer,  but change roles",Female
99,2020,2019-12-30 19:55:44.860,91000.0,United States,19104,Other,10,Full time employee,Data Scientist,No,3,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
100,2020,2019-12-30 19:53:29.450,77500.0,United States,38103,Microsoft SQL Server,1,Full time employee,Analyst,No,1,2,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Female
101,2020,2019-12-30 19:52:15.209,50000.0,United States,85379,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,No,1,136,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
102,2020,2019-12-30 19:50:51.303,125000.0,United States,,Other,4,Full time employee,Analyst,Yes,11,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
103,2020,2019-12-30 19:47:52.929,92000.0,United States,28202,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,No,3,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer,  but change roles",Male
104,2020,2019-12-30 19:37:45.709,55000.0,United States,54401,Microsoft Access,1,Full time employee,Analyst,No,2,1,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
105,2020,2019-12-30 19:37:21.113,58000.0,United States,79415,Microsoft SQL Server,3,Full time employee,Analyst,Yes,3,3,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
106,2020,2019-12-30 19:26:30.601,67000.0,United States,37209,Oracle,2,Full time employee,Other,No,2,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Non-profit,"Stay with the same employer, same role",Male
107,2020,2019-12-30 19:14:25.363,105000.0,United States,37214,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,6,15,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
108,2020,2019-12-30 19:12:40.748,55000.0,United States,19146,Microsoft SQL Server,1,Full time employee,Analyst,No,2,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
109,2020,2019-12-30 19:11:17.116,60600.0,United States,33014,Microsoft SQL Server,1,Full time employee,Data Scientist,No,1,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Female
110,2020,2019-12-30 19:08:39.314,144000.0,United States,76014,Microsoft SQL Server,4,Full time employee,Analyst,No,11,5,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
111,2020,2019-12-30 19:08:13.912,91000.0,United States,80003,Oracle,11,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,7,15,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
112,2020,2019-12-30 19:07:09.173,70000.0,United States,67056,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,No,1,8,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,Prefer not to say,Male
113,2020,2019-12-30 19:05:35.598,109000.0,United States,55405,Other,2,Full time employee,Analyst,No,2,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Male
115,2020,2019-12-30 19:00:25.997,64000.0,United States,53704,Oracle,2,Full time employee,Analyst,No,2,5,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
116,2020,2019-12-30 18:53:46.477,135000.0,United States,98122,MySQL/MariaDB,2,Full time employee,Other,No,1,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
117,2020,2019-12-30 18:53:21.595,97000.0,United States,29210,Microsoft SQL Server,20,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,6,150,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,"Stay with the same employer, same role",Male
118,2020,2019-12-30 18:51:13.539,62000.0,United States,14214,Microsoft SQL Server,9,Full time employee,Developer: T-SQL,No,9,80,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
119,2020,2019-12-30 18:42:46.374,54000.0,United States,55439,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,No,4,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
120,2020,2019-12-30 18:30:17.244,75000.0,United States,,Microsoft SQL Server,7,Full time employee,"Developer: App code (C#, JS, etc)",Yes,8,3,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Non-profit,"Stay with the same employer, same role",Male
121,2020,2019-12-30 18:09:21.900,55000.0,United States,63640,Microsoft SQL Server,1,Full time employee,Analyst,No,1,61,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
123,2020,2019-12-30 18:02:24.456,111000.0,United States,75057,Oracle,5,Full time employee,"DBA (Development Focus - tunes queries, indexes, does deployments)",No,4,30,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),State/province government,"Stay with the same employer, same role",Male
124,2020,2019-12-30 17:58:07.821,120000.0,United States,60131,Microsoft SQL Server,13,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,13,50,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
126,2020,2019-12-30 17:48:41.195,66000.0,United States,43081,Oracle,8,Full time employee,Analyst,No,3,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
127,2020,2019-12-30 17:34:28.946,57000.0,United States,55105,Microsoft SQL Server,3,Full time employee,Analyst,No,4,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
128,2020,2019-12-30 17:33:33.392,63000.0,United States,19123,Microsoft SQL Server,2,Full time employee,Analyst,No,2,6,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Female
129,2020,2019-12-30 17:32:47.062,50000.0,United States,29650,Microsoft SQL Server,1,Full time employee,Analyst,No,1,1,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,Prefer not to say,Male
131,2020,2019-12-30 17:26:45.895,72000.0,United States,,Microsoft SQL Server,3,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,3,3,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,Prefer not to say,Male
132,2020,2019-12-30 17:26:44.326,80000.0,United States,,Microsoft SQL Server,6,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,6,250,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Male
133,2020,2019-12-30 17:23:47.528,73000.0,United States,85255,Microsoft SQL Server,3,Full time employee,Analyst,No,4,2,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
135,2020,2019-12-30 17:00:34.166,58000.0,United States,85,Azure SQL DB,1,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,100,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
136,2020,2019-12-30 17:00:22.472,110400.0,United States,,Microsoft SQL Server,5,Full time employee,Manager,Yes,7,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
137,2020,2019-12-30 16:43:48.450,62000.0,United States,52803,Microsoft SQL Server,1,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",Yes,1,255,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same role, but change employers",Male
139,2020,2019-12-30 16:33:17.916,100000.0,United States,55401,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,No,7,15,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
